bibtex_key,status,archive_source,title,authors,doi
cmc20recognitionyangyangli,extracted,2020/03/CMC20-Recognition-YangyangLi.pdf,Manuscript Preparation Instruction for Publishing in Computer Modeling in Engineering and Science (CMES),CMC. doi:10.32604/cmc.2020.07290 www.techscience.com/journal/cmc Cold Start Problem of Vehicle Model Recognition under Cross- Scenario Based on Transfer Learning Hongbo Wang1 and * and Qian Xue1 and Tong Cui1 and Yangyang Li2 and Huacheng Zeng3 recognition plays an important role in intelligent transportation. Due to the difference among different vehicle models recognition datasets and the accuracy of network model,10.32604/cmc.2020.07290
cmcmotransframeyangyangli,extracted,2020/09/CMC-MoTransFrame-YangyangLi.pdf,Manuscript Preparation Instruction for Publishing in Computer Modeling in Engineering and Science (CMES),CMC. doi:10.32604/cmc.2020.010522 www.techscience.com/journal/cmc MoTransFrame: Model Transfer Framework for CNNs on Low- Resource Edge Computing Node Panyu Liu1 and Huilin Ren2 and Xiaojun Shi3 and Yangyang Li4 and * and Zhiping Cai1 and Fang Liu5 and Huacheng Zeng6 recognition and natural language processing and other related fields . The deep learning,10.32604/cmc.2020.010522
jbd20edgeyangyangli,extracted,2020/10/JBD20-Edge-YangyangLi.pdf,Manuscript Preparation Instruction for Publishing in Computer Modeling in Engineering and Science (CMES),This work is licensed under a Creative Commons Attribution 4.0 International License and which permits unrestricted use and distribution and reproduction in any medium and provi ded the original work is properly cited Workload Allocation Based on User Mobility in Mobile Edge Computing Tengfei Yang1 and 2 and Xiaojun Shi3 and Yangyang Li1 and * and Binbin Huang4 and Haiyong Xie1 and 5 and Yanting Shen4,10.32604/jbd.2020.010958
iccsn20minerbsyangyangli,extracted,2020/09/ICCSN20-MineRBS-YangyangLi.pdf,MineRBS: Detecting Android Malware Based on Runtime Behavior Sequence,Hao Jin and Yangyang Li,
mta20qayangyangli,extracted,2020/05/MTA20-QA-YangyangLi.pdf,Object-difference drived graph convolutional networks for visual question answering,for visual question answering Xi Zhu 1 and 2 & Zhendong Mao3 & Zhineng Chen4 & Yangyang Li 5 & Zhaohui Wang1 and 2 & Bin Wang 6 # Springer Science+Business Media and LLC and part of Springer Nature 2020 Visual Question Answering(VQA) and an important task to evaluate the cross-modal under- standing capability of an Artificial Intelligence model and has been a hot research topic in,10.1007/s11042-020-08790-0
iotj20icvyangyangli,extracted,2020/04/IOTJ20-ICV-YangyangLi.pdf,Towards Energy-Aware Caching for Intelligent Connected Vehicles,Connected Vehicles Hongjia Wu and Jiao Zhang and Zhiping Cai* and Fang Liu* and Yangyang Li and Anfeng Liu services in intelligent connected vehicles (ICV) and network traffic has grown exponentially and bringing huge burden and energy consumption to ICV network. Edge caching and which enables edges (e.g. and vehicles or roadside units) with cache storages and is a promis-,10.1109/JIOT.2020.2980954
jeit20iotyangyangli,review,2020/05/JEIT20-IOT-YangyangLi.pdf,面向物联网隐私数据分析的分布式弹性网络回归学习算法,"Li, Yangyang and others",10.11999/JEIT190739
ista19hcpyangyangli,extracted,2020/05/ISTA19-HCP-YangyangLi.pdf,487889_1_En_Print.indd,Framework Based on Heterogeneous Computing Platforms Liu Yuan and Yinggang Dong and Yangyang Li and Rui Zhang and Haiyong Xie performance heterogeneous parallel computing technology has received more and more attention from the industry. On the one hand and heterogeneous computing can significantly improve the computational efficiency. But on the other hand and it can also,10.1007/978-981-15-3914-5_13
cmc19mecyangyangli,extracted,2019/04/cmc19-MEC-YangyangLi.pdf,A Distributed ADMM Approach for Collaborative Regression,Learning in Edge Computing Yangyang Li1 and Xue Wang2 and Weiwei Fang2 and * and Feng Xue2 and Hao Jin1 and Yi Zhang1 and Xianwei Li3 data are produced by wireless sensors and connected devices at the edge of network. Con- ventional cloud computing raises serious concerns on communication latency and bandwidth cost and data privacy. To address these issues and edge computing has been introduced as,10.32604/cmc.2019.05178
icais2019androidyangyangli,extracted,2019/07/ICAIS2019_Android_YangyangLi.pdf,Artificial Intelligence and Security,Based on Traffic Analysis Rong Chen1 and 2 and Yangyang Li1(B) and Weiwei Fang2 1 Innovation Center and Mobile Internet Development and Research Center,10.1007/978-3-030-24274-9
icais2019recognitionyangyangli,extracted,2019/07/ICAIS2019_Recognition_YangyangLi.pdf,Artificial Intelligence and Security,Based on Semantic Segmentation in Natural Scene Xin Feng 1 and Yangyang Li 2 and Haomin Du 1 and Hongbo Wang 1(&),10.1007/978-3-030-24268-8_46
icais2019sdnyangyangli,extracted,2019/07/ICAIS2019_SDN_YangyangLi.pdf,Artificial Intelligence and Security,of Abnormal Traf fic in SDN Yabin Xu 1 and 2(&) and Chenxiao Cui 2 and Ting Xu 2 and Yangyang Li 3,10.1007/978-3-030-24274-9_22
icais2019socialnetworkyangyangli,extracted,2019/07/ICAIS2019_SocialNetwork_YangyangLi.pdf,Artificial Intelligence and Security,Message in Social Network Yabin Xu 1 and 2(&) and Yongqing Jiao 2 and Shujuan Chen 2 and Yangyang Li 3,10.1007/978-3-030-24274-9_45
icais2019wordsyangyangli,extracted,2019/07/ICAIS2019_Words_YangyangLi.pdf,Artificial Intelligence and Security,on Sensitive Information Categorization Panyu Liu1 and 2 and Yangyang Li1(B) and Zhiping Cai2 and Shuhui Chen2 1 Innovation Center and Mobile Internet Development and Research Center,10.1007/978-3-030-24274-9
cmc19detectionyangyangli,extracted,2019/01/cmc19-Detection-YangyangLi.pdf,CMC. doi:10.32604/cmc.2019.03708 www.techscience.com/cmc,Using Imbalanced Triangle Synthetic Data for Machine Learning Anomaly Detection Menghua Luo1 and 2 and Ke Wang1 and Zhiping Cai1 and * and Anfeng Liu3 and Yangyang Li4 and Chak Fong Cheang5 The amount of abnorm al data is so small that we can not get adequate information to analyze it. The mainstream methods focus on taking fully advantages of the normal data,10.32604/cmc.2019.03708
inscrypt19suzzeryangyangli,extracted,2020/04/Inscrypt19-Suzzer-YangyangLi.pdf,Information Security and Cryptology,Based on Deep Learning Yuyue Zhao1(B) and Yangyang Li2 and T e n g f e iY a n g2 and Haiyong Xie1 and 2 and 3,10.1007/978-3-030-42921-8
turc19blockchainyangyangli,review,2019/07/TURC19-Blockchain-YangyangLi.pdf,Insert Your Title Here,"Li, Yangyang and others",10.1145/3321408.3326693
mis19mecyangyangli,extracted,2019/02/MIS19-MEC-YangyangLi.pdf,Markov Approximation for Task Offloading and Computation,Scaling in Mobile Edge Computing Wenchen Zhou and 1 Weiwei Fang 1 Yangyang Li and 2 Bo Yuan and 1 Yiming Li and 1 and Tian Wang3,10.1155/2019/8172698
mm19recognitionyangyangli,review,2019/11/MM19-Recognition-YangyangLi.pdf,MMJN: Multi-Modal Joint Networks for 3D Shape Recognition,"Li, Yangyang and others",10.1145/3343031.3351009
wirelessnetwork19mecyangyangli,review,2019/05/WirelessNetwork19-MEC-YangyangLi.pdf,OKRA: optimal task and resource allocation for energy minimization in mobile edge computing systems,"Li, Yangyang and others",10.1007/s11276-019-02000-y(0123456789(
wcmc19mecyangyangli,extracted,2019/12/WCMC19-MEC-YangyangLi.pdf,Security and Cost-Aware Computation Offloading via Deep,Reinforcement Learning in Mobile Edge Computing Binbin Huang and 1 Yangyang Li and 2 Zhongjin Li and 1 Linxuan Pan and 3 Shangguang Wang and 4 Yunqiu Xu and 5 and Haiyang Hu 1,10.1155/2019/3816237
access193dyangyangli,review,2020/01/Access19-3D-YangyangLi.pdf,Two-Stream Network Based on Visual Saliency Sharing for 3D Model Recognition,"Li, Yangyang and others",
bigdatase18signalyangyangli,review,2018/11/BigDataSE18-signal-YangyangLi.pdf,A New Wavelet Thresholding Method Based on Cyclostationarity for Enhancing the Interception of Computer Video Leakage Signals,"Li, Yangyang and others",10.1109/TrustCom/BigDataSE.2018.00289
jfle18crimeyangyangli,extracted,2020/06/JFLE18-Crime-YangyangLi.pdf,Adopting data interpretation on mining fine-grained near-repeat patterns in crimes,crimes Ke Wang a and Zhiping Cai a and Peidong Zhu a and b and ∗ and Pengshuai Cui a and Haoyang Zhu a and Yangyang Li c,10.1016/j.j
journalxjtu18mecyangyangli,review,2018/11/JournalXJTU18-MEC-YangyangLi.pdf,"ISSN 0253-987X,CN 61-1069/T 《西安交通大学学报》网络首发论文 题目: 移动边缘计算中分布式的设备发射功率优化算法","Li, Yangyang and others",
jcaeit18scmayangyangli,review,2018/11/JCAEIT18-SCMA-YangyangLi.pdf,Jo u rnalo fCA E IT Vo l.13 N o .2 A p r. 2018,"Li, Yangyang and others",
jcaeit18bluetoothyangyangli,review,2019/01/JCAEIT18-Bluetooth-YangyangLi.pdf,Journal ofC A E IT V ol.13 No.5 Oc t. 2018 檵檵檵檵檵檵檵檵,"Li, Yangyang and others",
cmc18identificationyangyangli,extracted,2018/11/cmc18-identification-YangyangLi.pdf,Manuscript Preparation Instruction for Publishing in Computer Modeling in Engineering and Science (CMES),New Method for Computer Identification Through Electromagnetic Radiation Jun Shi1 and Zhujun Zhang2 and Yangyang Li1 and * and Rui Wang1 and Hao Shi1 and Xile Li3 leakage and ca n cause electromagnetic compatibility (EMC) problems. Electromagnetic radiation signals from computer displays can be a security risk if they are intercepted and reconstructed. In addition and the leaks may reveal the hardware information of the computer,10.32604/cmc.2018.03688
cmc18mobileyangyangli,extracted,2018/11/cmc18-mobile-YangyangLi.pdf,Manuscript Preparation Instruction for Publishing in Computer Modeling in Engineering and Science (CMES),Securing Display Path for Security-Sensitive Applications on Mobile Devices Jinhua Cui1 and 2 and Yuanyuan Zhang3 and Zhiping Cai1 and * and Anfeng Liu4 and Yangyang Li5 they also become an attr active target of cyber -attacks. The threat is exaggerated as commodity OSes usually have a large code base and suffer from various software vulnerabilities. Nowadays and adversaries prefer to steal sensitive data by leaking the content,10.3970/cmc.2018.055.017
dmcit18basestationyangyangli,review,2018/11/DMCIT18-BaseStation-YangyangLi.pdf,Microsoft Word - M1007-final3-180626.docx,"Li, Yangyang and others",10.1088/1742-6596/1060/1/012019
jhe18medicalyangyangli,extracted,2018/11/JHE18-medical-YangyangLi.pdf,Review Article,Data Processing and Text Mining Technologies on Electronic Medical Records: A Review Wencheng Sun and 1 Zhiping Cai and 1 Yangyang Li and 2 Fang Liu and 3 Shengqun Fang and 1 and Guoyan Wang 4,10.1155/2018/4302425
scn18iotyangyangli,extracted,2018/11/SCN18-IoT-YangyangLi.pdf,ReviewArticle,Security and Privacy in the Medical Internet of Things: A Review Wencheng Sun and 1 Zhiping Cai and 1 Yangyang Li and 2 Fang Liu and 3 Shengqun Fang and 1 and Guoyan Wang4,10.1155/2018/5978636
scn18sdnyangyangli,extracted,2018/11/SCN18-SDN-YangyangLi.pdf,ReviewArticle A Survey on Security-Aware Measurement in SDN,A Survey on Security-Aware Measurement in SDN Heng Zhang and 1 Zhiping Cai and 1 Qiang Liu and 1 Qingjun Xiao and 2 Yangyang Li and 3 and Chak Fone Cheang4,10.1155/2018/2459154
tjeecs18mecyangyangli,review,2018/11/TJEECS18-MEC-YangyangLi.pdf,Turk J Elec Eng & Comp Sci () : – © TÜBİTAK Turkish Journal of Electrical Engineering & Computer Sciences,"Li, Yangyang and others",10.3906/elk-1806-112
jit17dcnyangyangli,extracted,2018/11/JIT17-DCN-YangyangLi.pdf,117Utility-Driven Bandwidth Allocation in Data Center Networks,Utility-Driven Bandwidth Allocation in Data Center Networks Hongbo Wang Yangyang Li Shiduan Cheng,10.6138/JIT.2017.18.3.20130430
dcc17cr,review,2017/03/DCC17_CR.pdf,Calantha: Content Distribution across Geo-Distributed Datacenters,"Li, Yangyang and others",
dcc17tr,review,2017/03/DCC17_TR.pdf,Calantha: Content Distribution across Geo-Distributed Datacenters,"Li, Yangyang and others",
dcc17dcnyangyangli,review,2018/11/DCC17-DCN-YangyangLi.pdf,Calantha: Content Distribution across Geo-Distributed Datacenters,"Li, Yangyang and others",
healthcom17medicalyangyangli,extracted,2018/11/Healthcom17-medical-YangyangLi.pdf,Clustered Multi-dictionary Code Compression Method for Portable Medical Electronic Systems,Electronic Systems Ji Tu and Xiangyi Yu and Yangyang Li and Liu Yuan and Meng Li,
jaceit17wlanyangyangli,review,2018/11/JACEIT17-wlan-YangyangLi.pdf,Journ al ofCA E IT V ol.12 No.3 Jun . 2 017 檵檵檵檵檵檵檵檵,"Li, Yangyang and others",
iccsnt17sparkyangyangli,review,2018/11/ICCSNT17-Spark-YangyangLi.pdf,Research on Query Analysis and Optimization Based on Spark,"Li, Yangyang and others",
jcaeit16bigdatayangyangli,review,2018/11/JCAEIT16-bigdata-YangyangLi.pdf,2 0 1 6年1 2 月 J o urn al o f  CA E1T De c,"Li, Yangyang and others",
globecom16dcnyangyangli,review,2018/11/Globecom16-DCN-YangyangLi.pdf,Blossom: Content Distribution Using Inter-Datacenter Networks,"Li, Yangyang and others",
chinacom14cloudyangyangli,review,2018/11/ChinaCom14-Cloud-YangyangLi.pdf,I. INTRODUCTION Cloud computing provides users with on-de -,"Li, Yangyang and others",
jcom14cloudyangyangli,review,2018/11/JCOM14-cloud-YangyangLi.pdf,JCOM14-cloud-YangyangLi,"Li, Yangyang and others",
jcupt14cloudyangyangli,review,2018/11/JCUPT14-cloud-YangyangLi.pdf,Virtual machine placement optimizing to improve network performance in cloud data centers,"Li, Yangyang and others",10.1016/S1005-8885(14)60302-2
jin13cloudyangyangli,review,2018/11/JIN13-cloud-YangyangLi.pdf,Differentiated Bandwidth Guarantees for Cloud Data Centers,"Li, Yangyang and others",10.1142/S0219265913600025
